,Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
1736,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-10,41.0,2024-04-10,58.0,,5.7
1737,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-11,69.0,2024-04-11,69.0,,5.7
1738,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-12,34.0,2024-04-12,34.0,,5.7
1739,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-14,68.0,2024-04-14,68.0,,5.7
1740,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-15,25.0,2024-04-15,25.0,1.0,5.7
1741,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-16,206.0,2024-04-16,206.12,2.0,5.7
1742,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-17,246.0,2024-04-17,246.0,3.0,5.7
1743,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-18,36.0,2024-04-18,36.0,,5.7
1744,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-19,79.0,2024-04-19,79.0,1.0,5.7
1745,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-20,67.0,2024-04-20,67.0,1.0,5.7
1746,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-22,48.0,2024-04-22,48.0,,5.7
1747,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-23,34.0,2024-04-23,34.0,,5.7
1748,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Н404МН30,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-24,42.0,2024-04-24,42.0,1.0,5.7
1750,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4069НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-01,31.0,2024-04-01,31.0,,5.9
1751,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4069НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-02,5.0,2024-04-02,24.0,1.0,5.9
1752,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4069НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-16,3.0,2024-04-16,8.15,,5.9
1753,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4069НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-29,87.0,2024-04-29,87.0,2.0,5.9
1755,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4074НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-01,31.0,2024-04-01,31.0,,1.6
1756,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4074НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-02,24.0,2024-04-02,24.6,2.0,1.6
1757,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4074НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-16,8.15,2024-04-10,8.12,,1.6
1758,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4074НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-20,13.25,2024-04-16,8.15,,1.6
1759,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4074НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-29,87.0,2024-04-20,13.25,,1.6
1760,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4074НТ77,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,,,2024-04-29,87.0,4.0,1.6
1762,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-01,46.5,2024-04-01,46.5,2.0,2.5
1763,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-05,56.0,2024-04-05,56.0,1.0,2.5
1764,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-08,113.0,2024-04-08,113.26,3.0,2.5
1765,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-11,39.0,2024-04-11,39.0,,2.5
1766,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-12,16.5,2024-04-12,16.5,1.0,2.5
1767,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-15,15.0,2024-04-15,20.0,,2.5
1768,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-18,28.0,2024-04-18,28.0,2.0,2.5
1769,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-20,7.0,2024-04-20,7.0,,2.5
1770,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-23,53.0,2024-04-23,53.0,3.0,2.5
1771,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-27,21.0,2024-04-27,21.0,2.0,2.5
1772,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,7049СН67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-28,0.0,2024-04-28,0.0,,2.5
1786,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0034СР67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-01,20.0,,,,5.9
1787,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0034СР67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-05,9.0,,,1.0,5.9
1788,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0034СР67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-15,15.0,,,,5.9
1789,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0034СР67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-20,24.0,,,,5.9
1790,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0034СР67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-23,9.0,,,1.0,5.9
1791,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0034СР67,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,2024-04-27,18.0,,,,5.9
1792,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4507РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,,0.0,,0.0,0.0,0.0
1793,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9446РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,0.0,,0.0,0.0,0.0
1795,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,46.5,2024-04-01,49.5,,4.5
1796,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-05,56.0,2024-04-05,66.0,1.0,4.5
1797,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-08,13.0,2024-04-08,13.0,,4.5
1798,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,39.0,2024-04-11,39.0,2.0,4.5
1799,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,16.5,2024-04-12,16.5,,4.5
1800,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-15,15.0,2024-04-15,15.0,1.0,4.5
1801,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,28.0,2024-04-18,28.0,,4.5
1802,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-20,7.0,2024-04-20,27.0,1.0,4.5
1803,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-23,53.0,2024-04-23,53.0,,4.5
1804,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-27,21.0,2024-04-27,21.0,1.0,4.5
1805,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9447РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-28,1.0,2024-04-28,31.0,1.0,4.5
1807,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,76.0,2024-04-01,86.0,,5.8
1808,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-03,29.0,2024-04-03,29.0,1.0,5.8
1809,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-08,30.0,2024-04-08,39.0,,5.8
1810,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-10,18.0,2024-04-10,18.0,,5.8
1811,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,15.0,2024-04-11,17.0,1.0,5.8
1812,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-15,18.0,2024-04-15,18.0,,5.8
1813,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-16,25.0,2024-04-16,25.0,,5.8
1814,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-17,17.0,2024-04-17,17.0,,5.8
1815,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,37.0,2024-04-18,37.0,1.0,5.8
1816,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-19,11.0,2024-04-19,31.0,,5.8
1817,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-22,31.0,2024-04-22,39.15,1.0,5.8
1818,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9449РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-24,40.0,2024-04-24,44.0,,5.8
1819,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4901РВ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,0.0,,0.0,0.0,0.0
1821,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,5045НМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,17.0,2024-04-01,36.0,,6.0
1822,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,5045НМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-02,14.0,2024-04-02,14.0,,6.0
1823,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,5045НМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-16,4.0,2024-04-16,26.12,1.0,6.0
1824,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,5045НМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-20,24.0,2024-04-20,24.0,,6.0
1825,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,5045НМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,55.0,2024-04-25,55.0,,6.0
1826,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,5045НМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-29,45.0,2024-04-29,45.0,,6.0
1828,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,46.5,2024-04-01,46.5,,4.2
1829,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-05,56.0,2024-04-05,156.0,,4.2
1830,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-09,13.0,2024-04-09,13.0,,4.2
1831,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,49.0,2024-04-11,49.0,,4.2
1832,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,102.0,2024-04-12,102.0,,4.2
1833,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-15,5.0,2024-04-15,5.0,,4.2
1834,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,28.0,2024-04-18,28.0,,4.2
1835,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-20,7.0,2024-04-20,7.0,,4.2
1836,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-21,53.0,2024-04-21,53.0,,4.2
1837,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-23,53.0,2024-04-23,53.0,,4.2
1838,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,67.0,2024-04-25,62.0,,4.2
1839,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-27,26.5,2024-04-27,26.12,,4.2
1840,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4006РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-28,0.0,2024-04-28,0.0,,4.2
1842,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0071ОК57,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,2024-04-04,56.0,2024-04-01,24.41,,3.2
1843,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0071ОК57,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,2024-04-07,96.0,2024-04-04,56.0,2.0,3.2
1844,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0071ОК57,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,2024-04-17,38.0,2024-04-07,96.0,,3.2
1845,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0071ОК57,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,2024-04-28,0.0,2024-04-17,38.0,2.0,3.2
1846,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0071ОК57,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,2024-04-28,0.0,,3.2
1848,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,12.0,2024-04-01,12.0,,6.0
1849,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-03,19.0,2024-04-03,39.0,2.0,6.0
1850,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-04,4.0,2024-04-04,4.0,,6.0
1851,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,6.0,2024-04-11,6.0,1.0,6.0
1852,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-17,13.0,2024-04-17,13.0,1.0,6.0
1853,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,40.0,2024-04-18,40.0,,6.0
1854,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-19,4.0,2024-04-19,14.0,2.0,6.0
1855,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-20,2.0,2024-04-20,12.0,,6.0
1856,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-21,10.0,2024-04-21,10.0,1.0,6.0
1857,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-24,424.0,2024-04-24,424.0,,6.0
1858,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-28,31.0,2024-04-28,31.25,1.0,6.0
1859,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,4005РМ77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-30,15.0,2024-04-30,15.0,,6.0
1861,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-05,55.0,2024-04-01,145.0,,6.0
1862,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-08,204.0,2024-04-03,213.0,2.0,6.0
1863,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-09,213.0,2024-04-05,55.0,,6.0
1864,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-10,117.0,2024-04-08,204.0,1.0,6.0
1865,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,71.0,2024-04-09,113.0,,6.0
1866,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-16,64.0,2024-04-10,317.0,1.0,6.0
1867,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-17,208.0,2024-04-12,271.0,,6.0
1868,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,80.0,2024-04-16,164.0,,6.0
1869,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-25,250.0,2024-04-17,208.08,2.0,6.0
1870,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-26,340.0,2024-04-18,80.0,,6.0
1871,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-25,250.0,,6.0
1872,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-26,340.0,,6.0
1873,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-20,125.0,1.0,6.0
1874,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-25,154.0,,6.0
1875,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-26,160.0,,6.0
1876,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-28,625.36,,6.0
1877,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9709РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,2024-04-30,589.21,,6.0
1879,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9707РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-04,56.0,2024-04-04,66.0,,5.4
1880,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9707РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-07,36.0,2024-04-07,37.0,1.0,5.4
1881,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9707РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-17,38.0,2024-04-17,38.0,,5.4
1882,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9707РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-28,9.0,2024-04-28,9.0,1.0,5.4
1884,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0460РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-01,49.5,2024-04-01,49.5,,4.9
1885,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0460РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-05,66.0,2024-04-05,66.0,2.0,4.9
1886,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0460РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-08,13.0,2024-04-08,32.26,2.0,4.9
1887,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0460РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-11,39.0,2024-04-11,39.0,,4.9
1888,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0460РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-12,16.5,2024-04-12,16.5,1.0,4.9
1889,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0460РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-15,15.0,2024-04-15,15.0,,4.9
1890,МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0460РК77,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,2024-04-18,28.0,2024-04-18,20.0,1.0,4.9
